09-06-2025 09:17:13,merge,10,melhor,0.000000,1071524092
09-06-2025 09:18:09,merge,10,pior,0.000000,98169556
09-06-2025 09:23:41,merge,10,aleatorio,0.000000,55330160
09-06-2025 09:24:10,merge,100,melhor,0.000000,1755951840
09-06-2025 09:27:45,merge,100,pior,0.001000,580408436
09-06-2025 09:35:09,merge,100,aleatorio,0.000600,1945408816
09-06-2025 09:37:25,merge,1000,melhor,0.001000,690893296
09-06-2025 09:42:16,merge,1000,pior,0.000000,27952772
09-06-2025 09:42:47,merge,1000,aleatorio,0.000600,561814804
09-06-2025 09:47:39,merge,10000,melhor,0.007000,1400796732
09-06-2025 09:48:08,merge,10000,pior,0.005000,436431680
09-06-2025 09:48:41,merge,10000,aleatorio,0.004800,1335314924
09-06-2025 09:49:22,merge,100000,melhor,0.045000,507749300
09-06-2025 09:49:29,merge,100000,pior,0.043000,227003204
09-06-2025 09:49:36,merge,100000,aleatorio,0.049200,220176696
09-06-2025 09:50:51,merge,1000000,melhor,0.435000,931318592
09-06-2025 09:51:33,merge,1000000,pior,0.405000,1222052964
09-06-2025 09:52:05,merge,1000000,aleatorio,0.488200,1357905220
09-06-2025 09:53:00,merge,10000000,melhor,4.276000,2308141312
09-06-2025 09:54:04,merge,10000000,pior,4.141000,2633650208
09-06-2025 09:54:15,merge,10000000,aleatorio,4.972800,1349824104
09-06-2025 09:55:17,bubble,10,melhor,0.000000,1547538828
09-06-2025 09:55:25,bubble,10,pior,0.000000,1428409396
09-06-2025 09:55:33,bubble,10,aleatorio,0.000000,813727616
09-06-2025 09:55:43,bubble,100,melhor,0.000000,1510055728
09-06-2025 09:55:57,bubble,100,pior,0.000000,1516928144
09-06-2025 09:56:07,bubble,100,aleatorio,0.000000,696901072
09-06-2025 09:56:23,bubble,1000,melhor,0.001000,1517194924
09-06-2025 09:56:37,bubble,1000,pior,0.001000,653764616
09-06-2025 09:56:42,bubble,1000,aleatorio,0.002400,1248112188
11-06-2025 23:10:58,bubble,10000,melhor,0.135000,1248759108
11-06-2025 23:11:19,bubble,10000,pior,0.138000,1268437820
11-06-2025 23:11:50,bubble,10000,aleatorio,0.250200,449560968
09-06-2025 09:57:07,bubble,100000,melhor,13.653000,135174596
09-06-2025 09:58:32,bubble,100000,aleatorio,31.654599,272129788
09-06-2025 10:02:49,bubble,100000,pior,13.650000,1948484500
09-06-2025 19:02:31,bubble,1000000,melhor,1429.797000,1323009364
09-06-2025 10:04:01,selection,10,melhor,0.000000,1916276228
09-06-2025 10:05:12,selection,10,pior,0.000000,1904411668
09-06-2025 10:07:16,selection,10,aleatorio,0.000000,1438263096
09-06-2025 10:07:41,selection,100,melhor,0.000000,317078652
09-06-2025 10:08:16,selection,100,pior,0.000000,307749276
09-06-2025 10:08:19,selection,100,aleatorio,0.000000,453894876
09-06-2025 10:09:24,selection,1000,melhor,0.001000,505848000
09-06-2025 10:09:48,selection,1000,pior,0.002000,844278656
09-06-2025 10:10:34,selection,1000,aleatorio,0.001600,631531100
09-06-2025 10:11:27,selection,10000,melhor,0.127000,93458576
09-06-2025 10:11:30,selection,10000,pior,0.130000,377602364
09-06-2025 10:11:32,selection,10000,aleatorio,0.132600,890837964
09-06-2025 10:11:45,selection,100000,melhor,12.939000,1541245468
09-06-2025 10:12:03,selection,100000,pior,13.056000,217482408
09-06-2025 10:12:32,selection,100000,aleatorio,12.705200,642302888
09-06-2025 10:14:36,selection,1000000,melhor,1302.323000,1073300204
